city,state,lat,lng
Nikolski,AK,52.9380556,-168.8677778
Unalaska,AK,53.8736111,-166.5366667
Adak,AK,51.88,-176.6580556
Atka,AK,52.1961111,-174.2005556
Saint George,AK,56.6,-169.5416667
Saint Paul,AK,57.1222222,-170.275
Akutan,AK,54.1355556,-165.7730556
Cold Bay,AK,55.1858333,-162.7211111
False Pass,AK,54.8508333,-163.415
King Cove,AK,55.0616667,-162.3102778
Sand Point,AK,55.3397222,-160.4972222
Ketchikan,AK,55.3422222,-131.6461111
Saxman,AK,55.3183333,-131.5958333
King Salmon,AK,58.6883333,-156.6613889
Naknek,AK,58.7283333,-157.0138889
South Naknek,AK,58.7155556,-156.9980556
Koliganek,AK,59.7286111,-157.2844444
Togiak,AK,59.0619444,-160.3763889
Aleknagik,AK,59.2730556,-158.6177778
Clark'S Point,AK,58.8441667,-158.5508333
Dillingham,AK,59.0397222,-158.4575
Ekwok,AK,59.3497222,-157.4752778
Manokotak,AK,58.9813889,-159.0583333
New Stuyahok,AK,59.4527778,-157.3119444
Igiugig,AK,59.3277778,-155.8947222
Iliamna,AK,59.7567965,-154.9110837
Ivanof Bay,AK,55.9,-159.4833333
Kokhanok,AK,59.4394444,-154.7761111
Levelock,AK,59.1141667,-156.8588889
Chignik Lagoon,AK,56.3084393,-158.5302391
Pedro Bay,AK,59.7872222,-154.1061111
Perryville,AK,55.9139846,-159.1632767
Port Alsworth,AK,60.2025,-154.3127778
Ugashik,AK,57.5130556,-157.3975
Chignik,AK,56.2952778,-158.4022222
Egegik,AK,58.2155556,-157.3758333
Newhalen,AK,59.72,-154.8972222
Nondalton,AK,59.9736111,-154.8458333
Pilot Point,AK,57.5641667,-157.5791667
Port Heiden,AK,56.9325614,-158.6249699
Karluk,AK,57.5719444,-154.4555556
Akhiok,AK,56.9455556,-154.1702778
Kodiak,AK,57.79,-152.4072222
Larsen Bay,AK,57.54,-153.9786111
Old Harbor,AK,57.2027778,-153.3038889
Ouzinkie,AK,57.9236111,-152.5022222
Port Lions,AK,57.8675,-152.8822222
Juneau,AK,58.3019444,-134.4197222
Kake,AK,56.9758333,-133.9472222
Petersburg,AK,56.8112667,-132.9512425
Elfin Cove,AK,58.1944444,-136.3433333
Tenakee Springs,AK,57.7808333,-135.2188889
Skagway,AK,59.4583333,-135.3138889
Angoon,AK,57.5033333,-134.5838889
Gustavus,AK,58.4133333,-135.7369444
Hoonah,AK,58.11,-135.4436111
Pelican,AK,57.9608333,-136.2275
Excursion Inlet,AK,58.4213889,-135.4366667
Haines,AK,59.228589,-135.444114
Klukwan,AK,59.3987031,-135.8885477
Sitka,AK,57.0530556,-135.33
Pitkas Point,AK,62.0327778,-163.2877778
Alakanuk,AK,62.6888889,-164.6152778
Chevak,AK,61.5277778,-165.5863889
Emmonak,AK,62.7777778,-164.5230556
Hooper Bay,AK,61.5311111,-166.0966667
Kotlik,AK,63.0341667,-163.5533333
Marshall,AK,61.8777778,-162.0811111
Mountain Village,AK,62.0855556,-163.7294444
Nunam Iqua,AK,62.5336111,-164.8411111
Pilot Station,AK,61.9388889,-162.875
Russian Mission,AK,61.785,-161.3202778
Saint Mary'S,AK,62.0706739,-163.2737791
Scammon Bay,AK,61.8427778,-165.5816667
Kasigluk,AK,60.8955556,-162.5180556
Kipnuk,AK,59.9388889,-164.0413889
Kongiganak,AK,59.9532731,-162.8951327
Kwigillingok,AK,59.8644444,-163.1341667
Lime Village,AK,61.3563889,-155.4355556
Newtok,AK,60.9427778,-164.6294444
Akiachak,AK,60.9094444,-161.4313889
Atmautluak,AK,60.8669444,-162.2730556
Crooked Creek,AK,61.87,-158.1108333
Toksook Bay,AK,60.5337752,-165.1036627
Upper Kalskag,AK,61.5418812,-160.3338521
Oscarville,AK,60.7227778,-161.77
Red Devil,AK,61.7611111,-157.3125
Sleetmute,AK,61.7025,-157.1697222
Stony River,AK,61.7830556,-156.5880556
Tuluksak,AK,61.1025,-160.9616667
Tuntutuliak,AK,60.3430556,-162.6630556
Tununak,AK,60.5855556,-165.2558333
Akiak,AK,60.9122222,-161.2138889
Aniak,AK,61.5783333,-159.5222222
Bethel,AK,60.7922222,-161.7558333
Chefornak,AK,60.16,-164.2658333
Chuathbaluk,AK,61.5719444,-159.245
Eek,AK,60.2188889,-162.0244444
Goodnews Bay,AK,59.1188889,-161.5875
Kwethluk,AK,60.8122222,-161.4358333
Lower Kalskag,AK,61.5122222,-160.3580556
Mekoryuk,AK,60.3880556,-166.185
Napakiak,AK,60.6966667,-161.9519444
Napaskiak,AK,60.7080556,-161.7661111
Nightmute,AK,60.4794444,-164.7238889
Nunapitchuk,AK,60.8969444,-162.4594444
Platinum,AK,59.0130556,-161.8163889
Quinhagak,AK,59.7488889,-161.9158333
Mertarvik,AK,60.8109892,-164.4991078
Butte,AK,61.5422222,-149.0333333
Chase,AK,62.4491667,-150.1016667
Chickaloon,AK,61.7966667,-148.4627778
Wasilla,AK,61.5813889,-149.4394444
Petersville,AK,62.4963889,-150.7655556
Skwentna,AK,61.9902778,-151.3977778
Susitna,AK,61.5436111,-150.5125
Talkeetna,AK,62.3238889,-150.1094444
Trapper Creek,AK,62.3166667,-150.2313889
Willow,AK,61.7472222,-150.0375
Houston,AK,61.6302778,-149.8180556
Palmer,AK,61.5997222,-149.1127778
Eureka Roadhouse,AK,61.9386111,-147.1680556
Healy,AK,63.8569444,-148.9661111
Mckinley Park,AK,63.7327778,-148.9141667
Cantwell,AK,63.3916667,-148.9508333
Anderson,AK,64.3441667,-149.1869444
Anchorage,AK,61.2180556,-149.9002778
Gakona,AK,62.3019444,-145.3019444
Glennallen,AK,62.1091667,-145.5463889
Gulkana,AK,62.2713889,-145.3822222
Kenny Lake,AK,61.7191667,-144.9483333
Mccarthy,AK,61.4333333,-142.9216667
Mentasta Lake,AK,62.9211111,-143.7691667
Chisana,AK,62.0661111,-142.0408333
Chistochina,AK,62.5717828,-144.6541704
Chitina,AK,61.5158333,-144.4369444
Copper Center,AK,61.9769598,-145.3297294
Valdez,AK,61.1308333,-146.3483333
Whittier,AK,60.7730556,-148.6838889
Paxson,AK,63.0897222,-145.6130556
Slana,AK,62.7069444,-143.9611111
Tatitlek,AK,60.8647222,-146.6786111
Tonsina,AK,61.6558333,-145.1752778
Cordova,AK,60.5427778,-145.7575
Nabesna,AK,62.3719444,-143.0086111
Happy Valley,AK,59.9472222,-151.7322222
Hope,AK,60.9202778,-149.6402778
Kalifornsky,AK,60.4183333,-151.29
Kasilof,AK,60.3375,-151.2744444
Moose Pass,AK,60.4875,-149.3688889
Ninilchik,AK,60.0513889,-151.6688889
Anchor Point,AK,59.7766667,-151.8313889
Beluga,AK,61.1411111,-151.0827778
Clam Gulch,AK,60.2311111,-151.3936111
Cohoe,AK,60.3686111,-151.3063889
Cooper Landing,AK,60.49,-149.8341667
Soldotna,AK,60.4877778,-151.0583333
Port Graham,AK,59.3513889,-151.8297222
Sterling,AK,60.5372222,-150.7647222
Tyonek,AK,61.0680556,-151.1369444
Homer,AK,59.6425,-151.5483333
Kachemak,AK,59.6741531,-151.4373641
Kenai,AK,60.5544444,-151.2583333
Seldovia,AK,59.4380556,-151.7113889
